Datetime,P_exp,P
2023-10-01 10:52:56,1534.41,1033.5
2023-10-01 10:54:24,1822.87,1364.11
2023-10-01 10:55:31,1360.6,920.02
2023-10-01 10:56:28,1907.96,1440.18
2023-10-01 10:56:31,1997.99,1582.0
2023-10-01 10:58:29,1998.14,1483.38
2023-10-01 11:01:24,1650.1,1316.67
2023-10-01 11:04:16,1903.64,1224.56
2023-10-01 11:04:59,1865.93,1402.82
2023-10-01 11:05:12,705.37,625.67
2023-10-01 11:06:34,1717.32,1224.49
2023-10-01 11:09:16,1068.32,600.95
2023-10-01 11:11:57,683.12,759.15
2023-10-01 11:13:08,1978.73,1394.23
2023-10-01 11:13:37,1548.72,1075.58
2023-10-01 11:13:38,1193.14,848.6
2023-10-01 11:16:26,1236.98,1076.88
2023-10-01 11:20:26,1488.56,933.47
2023-10-01 11:22:01,969.76,797.57
2023-10-01 11:23:57,656.57,575.23
2023-10-01 11:25:04,548.07,447.17
2023-10-01 11:29:03,1530.69,949.53
2023-10-01 11:30:09,1600.7,1273.04
2023-10-01 11:30:18,1803.38,1424.21
2023-10-01 11:30:39,901.06,860.29
2023-10-01 11:32:39,1506.92,982.51
2023-10-01 11:33:54,1809.76,1244.24
2023-10-01 11:37:46,1894.94,1189.25
2023-10-01 11:37:55,1945.33,1499.31
2023-10-01 11:38:31,1638.6,1437.55
2023-10-01 11:41:12,958.82,687.86
2023-10-01 11:41:18,1804.57,1118.15
2023-10-01 11:42:59,1401.39,1248.03
2023-10-01 11:43:08,667.72,349.95
2023-10-01 11:44:19,790.65,430.5
2023-10-01 11:44:29,1947.37,1477.88
2023-10-01 11:48:03,1627.87,1222.57
2023-10-01 11:56:41,1513.63,1067.59
2023-10-01 11:59:09,1735.74,1146.17
2023-10-01 12:02:14,1699.36,1202.88
2023-10-01 12:02:49,721.39,572.28
2023-10-01 12:03:25,1723.03,953.01
2023-10-01 12:05:22,1912.82,1141.89
2023-10-01 12:05:45,1997.57,1494.99
2023-10-01 12:07:18,1800.76,1202.96
2023-10-01 12:07:43,1495.34,1160.85
2023-10-01 12:07:56,867.42,566.02
2023-10-01 12:12:46,1221.83,986.79
2023-10-01 12:13:27,1435.8,857.63
2023-10-01 12:14:15,1463.16,1257.05
2023-10-01 12:16:48,1734.15,1133.59
2023-10-01 12:16:57,1267.82,790.93
2023-10-01 12:17:30,422.05,114.14
2023-10-01 12:19:31,618.45,423.53
2023-10-01 12:21:34,1577.1,1234.38
2023-10-01 12:22:08,1814.68,1416.71
2023-10-01 12:25:29,1683.88,1290.08
2023-10-01 12:27:34,1670.09,1211.1
2023-10-01 12:27:36,705.52,668.77
2023-10-01 12:29:01,1995.22,1603.63
2023-10-01 12:30:42,608.31,361.45
2023-10-01 12:31:17,871.96,738.8
2023-10-01 12:34:14,448.6,157.9
2023-10-01 12:34:38,1726.94,1276.61
2023-10-01 12:36:28,1850.94,1257.63
2023-10-01 12:40:03,1014.96,778.53
2023-10-01 12:40:03,1953.89,1539.86
2023-10-01 12:40:35,1149.93,846.9
2023-10-01 12:41:10,877.63,710.44
2023-10-01 12:41:11,1681.07,1263.09
2023-10-01 12:44:19,1631.36,746.47
2023-10-01 12:44:30,1763.84,931.71
2023-10-01 12:44:46,1668.46,1176.56
2023-10-01 12:48:36,1847.17,1195.54
2023-10-01 12:50:30,1971.9,1506.74
2023-10-01 12:50:31,1573.49,1049.45
2023-10-01 12:50:42,1947.4,1439.47
2023-10-01 12:51:26,1960.61,1313.8
2023-10-01 12:51:27,1341.69,1054.29
2023-10-01 12:52:20,2004.19,1620.61
2023-10-01 12:55:10,1078.61,785.27
2023-10-01 12:56:59,500.54,360.71
2023-10-01 12:57:18,683.56,723.91
2023-10-01 12:59:00,634.84,567.99
2023-10-01 12:59:08,1130.38,903.68
2023-10-01 13:00:09,1451.36,1146.99
2023-10-01 13:01:09,1034.95,495.98
2023-10-01 13:02:19,1683.07,1069.27
2023-10-01 13:07:36,1106.14,955.22
2023-10-01 13:09:42,1827.75,1144.16
2023-10-01 13:10:26,1706.55,933.29
2023-10-01 13:11:32,1095.94,845.44
2023-10-01 13:14:27,993.88,724.27
2023-10-01 13:17:32,1969.47,1600.91
2023-10-01 13:18:30,815.06,471.23
2023-10-01 13:18:34,1899.56,1202.7
2023-10-01 13:25:18,1283.79,825.96
2023-10-01 13:25:28,894.58,356.49
2023-10-01 13:25:44,1657.86,1398.79
2023-10-01 13:28:42,1747.83,1306.85
2023-10-01 13:30:39,1276.14,866.67
2023-10-01 13:30:56,1909.24,1399.23
2023-10-01 13:31:40,1003.58,756.6
2023-10-01 13:31:42,1624.64,908.7
2023-10-01 13:32:34,1620.31,1116.46
2023-10-01 13:34:29,1198.56,741.05
2023-10-01 13:38:23,609.46,382.57
2023-10-01 13:40:23,604.01,440.97
2023-10-01 13:40:32,1175.73,1109.24
2023-10-01 13:41:03,1248.84,801.32
2023-10-01 13:44:48,1064.11,995.1
2023-10-01 13:45:32,1266.85,848.83
2023-10-01 13:46:48,1852.39,1429.72
2023-10-01 13:51:21,1432.95,1110.41
2023-10-01 13:53:58,1937.01,1497.54
2023-10-01 13:54:43,762.92,729.22
2023-10-01 13:59:00,1888.39,1388.07
2023-10-01 14:00:36,1161.52,678.55
2023-10-01 14:01:47,1134.31,769.81
2023-10-01 14:02:00,714.37,310.75
2023-10-01 14:03:56,1560.65,1176.72
2023-10-01 14:08:35,1280.69,880.74
2023-10-01 14:09:12,1456.43,1074.19
2023-10-01 14:09:41,1042.61,1064.82
2023-10-01 14:14:35,1312.08,885.2
2023-10-01 14:14:47,1959.86,1331.84
2023-10-01 14:17:35,1437.71,1080.4
2023-10-01 14:19:46,1753.49,946.72
2023-10-01 14:21:06,1680.25,954.53
2023-10-01 14:21:25,475.29,282.59
2023-10-01 14:22:56,1212.01,671.33
2023-10-01 14:26:00,1818.0,1148.35
2023-10-01 14:33:38,1135.89,729.45
2023-10-01 14:36:02,1976.86,1375.27
2023-10-01 14:36:05,1817.38,1293.3
2023-10-01 14:40:28,1177.13,795.97
2023-10-01 14:41:08,1595.14,1157.29
2023-10-01 14:45:59,807.14,496.43
2023-10-01 14:46:13,918.48,808.14
2023-10-01 14:46:19,1547.83,959.15
2023-10-01 14:46:23,1322.56,1168.63
2023-10-01 14:54:06,1637.09,1246.12
2023-10-01 14:54:52,1878.9,1248.09
2023-10-01 14:54:58,1617.52,1262.61
2023-10-01 14:55:31,1697.31,1402.38
2023-10-01 14:57:56,1562.45,1196.7
2023-10-01 15:01:02,1546.29,985.6
2023-10-01 15:06:58,594.38,497.55
2023-10-01 15:10:20,823.05,856.57
2023-10-01 15:12:06,1225.11,815.43
2023-10-01 15:14:09,1428.57,990.04
2023-10-01 15:16:29,742.39,692.73
2023-10-01 15:16:57,646.63,478.1
2023-10-01 15:17:11,1882.89,1270.72
2023-10-01 15:19:46,1853.35,1313.25
2023-10-01 15:20:30,1529.42,974.51
2023-10-01 15:25:38,1491.85,1017.13
2023-10-01 15:26:41,966.98,724.54
2023-10-01 15:29:22,1739.5,1243.93
2023-10-01 15:29:58,1084.2,771.0
2023-10-01 15:30:10,1348.81,955.66
2023-10-01 15:30:46,607.31,521.65
2023-10-01 15:32:14,1151.21,995.66
2023-10-01 15:32:18,836.45,775.14
2023-10-01 15:33:20,1352.09,876.9
2023-10-01 15:35:07,1411.14,1025.46
2023-10-01 15:35:37,1720.99,1315.22
2023-10-01 15:37:15,1688.73,1293.64
2023-10-01 15:43:10,1512.97,865.62
2023-10-01 15:45:12,1876.92,1007.16
2023-10-01 15:47:36,1344.02,1119.48
2023-10-01 15:52:46,575.44,369.08
2023-10-01 15:56:39,531.77,329.31
2023-10-01 15:57:27,1537.7,1158.78
2023-10-01 15:59:38,2009.22,1664.84
2023-10-01 16:02:26,572.3,399.25
2023-10-01 16:04:27,1923.49,1271.06
2023-10-01 16:06:22,1421.39,918.67
2023-10-01 16:06:34,1854.94,1251.97
2023-10-01 16:08:05,1879.26,1389.56
2023-10-01 16:08:40,1863.68,1235.94
2023-10-01 16:11:07,1027.17,984.26
2023-10-01 16:12:33,1319.65,695.88
2023-10-01 16:13:49,1616.59,1313.97
2023-10-01 16:16:02,670.0,447.37
2023-10-01 16:16:39,1741.26,1402.04
2023-10-01 16:16:47,1994.02,1445.83
2023-10-01 16:17:51,1496.13,944.99
2023-10-01 16:20:39,1898.66,1409.7
2023-10-01 16:20:55,1642.59,1311.96
2023-10-01 16:24:12,804.56,773.82
2023-10-01 16:27:40,687.73,390.08
2023-10-01 16:31:37,1428.54,1087.99
2023-10-01 16:33:12,879.8,678.0
2023-10-01 16:34:18,841.69,500.79
2023-10-01 16:39:18,891.37,575.59
2023-10-01 16:39:33,1603.26,800.69
2023-10-01 16:41:00,1726.91,1292.96
2023-10-01 16:43:23,1639.17,1326.93
2023-10-01 16:46:59,810.5,716.61
2023-10-01 16:47:52,1891.1,1332.07
2023-10-01 16:50:44,1202.35,776.99
2023-10-01 16:50:49,1882.7,1443.67
2023-10-01 16:50:53,932.01,581.27
2023-10-01 16:52:56,1543.31,975.93
2023-10-01 16:53:45,653.6,634.05
2023-10-01 16:54:44,2000.45,1620.19
2023-10-01 16:56:47,1662.03,1181.07
2023-10-01 16:57:19,1149.32,794.86
2023-10-01 16:58:44,1193.91,944.36
2023-10-01 16:59:27,1908.04,1343.1
2023-10-01 17:01:37,708.75,866.88
2023-10-01 17:02:33,1638.73,1115.01
2023-10-01 17:03:12,1277.03,721.41
2023-10-01 17:03:24,1836.33,1390.61
2023-10-01 17:04:44,1374.66,623.63
2023-10-01 17:05:04,584.63,510.38
2023-10-01 17:05:09,807.35,692.5
2023-10-01 17:11:35,662.95,598.26
2023-10-01 17:15:36,1122.4,908.94
2023-10-01 17:15:52,897.81,761.14
2023-10-01 17:17:51,855.27,1028.05
2023-10-01 17:19:34,673.54,386.58
2023-10-01 17:19:47,1967.54,1565.88
2023-10-01 17:21:19,1535.34,1160.2
2023-10-01 17:24:47,1457.11,959.42
2023-10-01 17:24:51,1422.77,1159.47
2023-10-01 17:26:15,1866.26,1222.21
2023-10-01 17:28:55,1884.85,1250.14
2023-10-01 17:29:08,893.63,930.14
2023-10-01 17:32:25,525.07,406.3
2023-10-01 17:35:25,1461.72,1070.81
2023-10-01 17:35:36,695.22,657.2
2023-10-01 17:39:18,1176.51,703.7
2023-10-01 17:40:34,1745.83,1155.0
2023-10-01 17:42:39,1149.8,907.55
2023-10-01 17:43:03,1552.14,992.98
2023-10-01 17:46:19,871.96,592.55
2023-10-01 17:47:54,1483.98,1179.85
2023-10-01 17:50:02,1749.53,1378.67
2023-10-01 17:56:11,651.4,310.66
2023-10-01 17:56:20,1786.07,1270.19
2023-10-01 17:58:03,1674.31,1286.68
2023-10-01 17:58:17,1938.09,1492.74
2023-10-01 17:59:34,1100.79,1053.45
2023-10-01 18:02:00,2006.76,1641.8
2023-10-01 18:03:10,1542.89,1172.95
2023-10-01 18:06:05,681.41,379.17
2023-10-01 18:06:22,1067.25,908.26
2023-10-01 18:15:53,1879.09,1246.94
2023-10-01 18:18:01,1955.16,1492.58
2023-10-01 18:20:34,1619.95,1358.5
2023-10-01 18:22:40,1913.61,1321.08
2023-10-01 18:22:48,1555.37,978.23
2023-10-01 18:23:35,840.76,479.63
2023-10-01 18:29:28,1157.62,967.45
2023-10-01 18:29:29,1995.07,1540.25
2023-10-01 18:30:54,1044.99,932.74
2023-10-01 18:31:24,1296.54,1157.64
2023-10-01 18:32:45,1236.97,753.44
2023-10-01 18:34:24,1980.62,1378.28
2023-10-01 18:37:17,795.13,846.34
2023-10-01 18:37:33,1934.97,1277.44
2023-10-01 18:39:48,593.3,405.99
2023-10-01 18:40:54,1001.81,809.91
2023-10-01 18:42:13,1931.61,1574.68
2023-10-01 18:44:53,1737.01,1075.24
2023-10-01 18:45:50,1719.04,1239.18
2023-10-01 18:46:03,1441.13,780.98
2023-10-01 18:48:41,1623.4,1222.72
2023-10-01 18:49:24,632.15,508.05
2023-10-01 18:52:43,1847.66,1116.63
2023-10-01 18:53:20,1921.27,1470.09
2023-10-01 18:56:55,1561.77,913.35
2023-10-01 18:59:15,928.69,986.08
2023-10-01 18:59:39,1802.9,1280.79
2023-10-01 19:00:50,1510.53,1138.43
2023-10-01 19:01:37,1966.93,1531.12
2023-10-01 19:08:14,952.67,694.07
2023-10-01 19:09:42,532.92,478.39
2023-10-01 19:11:53,1586.65,880.11
2023-10-01 19:11:54,676.78,486.46
2023-10-01 19:14:15,1991.68,1553.34
2023-10-01 19:14:17,1375.02,1043.46
2023-10-01 19:14:37,1585.21,1295.63
2023-10-01 19:15:02,1770.18,1149.18
2023-10-01 19:16:08,1680.95,939.61
2023-10-01 19:17:05,1539.94,956.37
2023-10-01 19:17:14,1752.2,1173.49
2023-10-01 19:20:50,817.23,761.0
2023-10-01 19:27:05,798.47,539.34
2023-10-01 19:30:36,1812.63,1427.53
2023-10-01 19:31:16,1329.5,821.31
2023-10-01 19:37:09,483.98,195.31
2023-10-01 19:41:59,1931.61,1495.47
2023-10-01 19:42:45,1149.62,620.02
2023-10-01 19:43:53,1460.62,718.81
2023-10-01 19:45:13,1066.91,849.23
2023-10-01 19:47:11,1557.36,1098.76
2023-10-01 19:48:47,1813.9,1209.57
2023-10-01 19:48:59,930.86,653.17
2023-10-01 19:52:57,1162.54,767.03
2023-10-01 19:54:49,1837.31,1451.1
2023-10-01 19:58:21,1613.16,1255.9
2023-10-01 19:59:56,1189.93,683.08
2023-10-01 20:00:35,1892.44,1420.61
2023-10-01 20:03:11,1012.69,826.66
2023-10-01 20:08:06,996.72,513.2
2023-10-01 20:11:09,1097.41,1035.19
2023-10-01 20:13:23,1315.05,817.52
2023-10-01 20:16:47,1311.32,1128.26
2023-10-01 20:18:48,1343.56,1137.32
2023-10-01 20:21:22,1152.94,705.54
2023-10-01 20:22:06,1622.16,1209.58
2023-10-01 20:23:05,1796.31,1316.68
2023-10-01 20:26:37,950.55,824.55
2023-10-01 20:27:38,1893.92,1288.55
2023-10-01 20:28:12,1495.49,1176.6
2023-10-01 20:28:17,1626.3,1065.52
2023-10-01 20:28:27,1487.3,990.72
2023-10-01 20:28:29,468.07,234.19
2023-10-01 20:32:56,1901.16,1393.46
2023-10-01 20:34:04,1801.78,1473.67
2023-10-01 20:35:01,500.41,473.08
2023-10-01 20:35:15,1838.91,1162.34
2023-10-01 20:37:08,1904.43,1353.41
2023-10-01 20:39:43,1613.07,1314.02
2023-10-01 20:41:34,725.47,686.36
2023-10-01 20:44:49,1970.69,1423.82
2023-10-01 20:46:30,615.1,385.46
2023-10-01 20:47:02,1575.43,814.25
2023-10-01 20:48:03,1768.78,1039.39
2023-10-01 20:48:32,848.65,763.61
2023-10-01 20:50:16,1772.51,1151.64
2023-10-01 20:53:57,1163.0,923.1
2023-10-01 20:54:20,1799.66,1284.79
2023-10-01 20:55:16,1467.02,824.6
2023-10-01 20:56:47,1830.49,1400.61
2023-10-01 20:57:31,803.06,759.65
2023-10-01 20:57:57,1378.84,1255.64
2023-10-01 21:01:56,1159.91,729.91
2023-10-01 21:03:13,1893.42,1434.63
2023-10-01 21:03:21,1351.93,1217.49
2023-10-01 21:04:17,838.14,658.1
2023-10-01 21:08:37,611.21,713.04
2023-10-01 21:10:39,864.73,760.56
2023-10-01 21:13:22,1643.82,1052.2
2023-10-01 21:14:07,1197.78,967.81
2023-10-01 21:14:42,614.0,804.6
2023-10-01 21:15:59,1470.53,889.59
2023-10-01 21:16:24,1620.12,1136.25
2023-10-01 21:16:58,892.6,486.34
2023-10-01 21:17:37,1485.32,1084.01
2023-10-01 21:18:35,2003.39,1522.37
2023-10-01 21:20:03,1831.43,1373.9
2023-10-01 21:21:39,1863.93,1246.94
2023-10-01 21:24:08,609.69,417.27
2023-10-01 21:24:10,1228.16,981.27
2023-10-01 21:24:21,962.11,878.07
2023-10-01 21:24:38,1255.49,739.21
2023-10-01 21:25:37,1464.0,802.05
2023-10-01 21:25:56,814.17,641.47
2023-10-01 21:27:42,2002.91,1533.82
2023-10-01 21:27:45,1894.06,1292.6
2023-10-01 21:29:40,1346.56,829.06
2023-10-01 21:32:14,863.87,619.86
2023-10-01 21:40:46,1003.68,828.7
2023-10-01 21:40:49,1302.34,983.61
2023-10-01 21:41:44,1686.89,1123.83
2023-10-01 21:42:49,422.66,212.66
2023-10-01 21:47:13,1084.79,1023.57
2023-10-01 21:53:18,981.07,735.88
2023-10-01 21:56:44,1995.6,1596.66
2023-10-01 21:59:46,531.02,323.46
2023-10-01 22:00:35,1242.39,822.96
2023-10-01 22:01:26,1556.47,1077.22
2023-10-01 22:06:52,1989.37,1569.89
2023-10-01 22:11:28,1415.69,1208.23
2023-10-01 22:12:06,598.14,640.75
2023-10-01 22:14:40,1588.4,1099.02
2023-10-01 22:16:42,1391.32,1101.22
2023-10-01 22:18:00,1795.27,1188.25
2023-10-01 22:18:56,885.09,837.49
2023-10-01 22:19:40,1092.6,798.33
2023-10-01 22:30:35,1957.94,1413.99
2023-10-01 22:32:24,1956.43,1305.36
2023-10-01 22:33:03,2001.58,1599.51
2023-10-01 22:33:09,946.85,610.49
2023-10-01 22:36:39,2004.16,1587.92
2023-10-01 22:36:42,882.97,750.44
2023-10-01 22:39:08,1796.07,1344.84
2023-10-01 22:39:46,1743.09,1159.92
2023-10-01 22:41:00,1153.53,820.18
2023-10-01 22:41:06,1471.02,1060.86
2023-10-01 22:41:10,1698.77,1203.81
2023-10-01 22:41:37,628.72,754.12
2023-10-01 22:44:39,1021.58,799.03
2023-10-01 22:52:52,1534.42,1283.2
2023-10-01 22:54:52,1316.34,801.72
2023-10-01 22:56:13,944.58,800.03
2023-10-01 22:58:37,947.37,966.42
2023-10-01 22:59:03,988.49,667.14
2023-10-01 23:04:32,1269.57,1151.57
2023-10-01 23:04:37,1654.73,1105.86
2023-10-01 23:06:16,1301.3,976.76
2023-10-01 23:07:00,1666.94,825.97
2023-10-01 23:14:18,904.51,918.48
2023-10-01 23:16:50,857.23,533.84
2023-10-01 23:21:45,1579.52,1072.69
2023-10-01 23:24:15,1684.3,1139.38
2023-10-01 23:24:40,1221.39,1063.06
2023-10-01 23:32:21,1150.47,959.81
2023-10-01 23:35:48,1830.13,1293.14
2023-10-01 23:37:35,1829.79,1309.94
2023-10-01 23:39:07,1987.76,1527.61
2023-10-01 23:40:02,1668.53,1232.34
2023-10-01 23:41:36,547.16,511.67
2023-10-01 23:42:53,1393.82,1034.92
2023-10-01 23:45:10,1961.41,1562.68
2023-10-01 23:46:06,1871.32,1312.19
2023-10-01 23:47:14,449.9,202.65
2023-10-01 23:49:05,448.71,231.74
2023-10-01 23:49:54,1658.35,1411.57
2023-10-01 23:49:57,1651.44,1320.66
2023-10-01 23:50:40,666.29,434.62
2023-10-01 23:51:20,1367.75,1072.67
2023-10-01 23:55:40,1812.02,1223.03
2023-10-01 23:57:01,1613.98,878.8
2023-10-01 23:58:46,822.87,310.0
2023-10-01 23:59:10,1885.08,1486.18
2023-10-02 00:02:07,509.7,243.94
2023-10-02 00:03:04,1501.0,1112.63
2023-10-02 00:10:34,1911.32,1501.25
2023-10-02 00:10:57,1117.21,547.48
2023-10-02 00:11:45,1486.34,1280.91
2023-10-02 00:12:58,714.76,410.17
2023-10-02 00:16:17,1992.27,1508.1
2023-10-02 00:16:51,1574.54,1039.68
2023-10-02 00:18:16,1989.86,1534.83
2023-10-02 00:24:14,617.86,458.02
2023-10-02 00:25:57,1903.67,1420.97
2023-10-02 00:30:23,1970.64,1546.44
2023-10-02 00:38:26,1944.5,1449.85
2023-10-02 00:38:28,945.28,618.0
2023-10-02 00:40:44,1464.88,1196.27
2023-10-02 00:42:17,957.46,617.21
2023-10-02 00:44:35,633.0,639.44
2023-10-02 00:46:04,694.83,844.59
2023-10-02 00:46:43,1277.77,933.09
2023-10-02 00:47:02,562.99,415.03
2023-10-02 00:47:11,551.17,621.3
2023-10-02 00:47:52,1219.73,1056.4
2023-10-02 00:49:27,1976.29,1568.02
2023-10-02 00:51:52,1843.23,1376.31
2023-10-02 00:52:29,1823.33,1061.33
2023-10-02 01:00:44,1324.53,1064.8
2023-10-02 01:02:38,1991.62,1471.82
2023-10-02 01:06:08,1316.34,700.08
2023-10-02 01:11:49,1723.39,1310.75
2023-10-02 01:12:16,1602.72,837.02
2023-10-02 01:13:23,1832.8,1314.07
2023-10-02 01:16:09,1797.59,1163.56
2023-10-02 01:16:31,1337.71,938.34
2023-10-02 01:20:09,1976.44,1599.0
2023-10-02 01:21:03,1520.4,1240.27
2023-10-02 01:21:40,1644.43,1377.96
2023-10-02 01:26:57,1843.23,1296.86
2023-10-02 01:27:13,1496.75,1163.7
2023-10-02 01:30:02,684.39,369.73
2023-10-02 01:31:41,935.32,737.3
2023-10-02 01:32:04,1404.09,788.69
2023-10-02 01:34:27,1485.5,1069.04
2023-10-02 01:35:24,1857.72,1474.32
2023-10-02 01:35:31,1864.11,1274.99
2023-10-02 01:38:03,1821.25,1352.69
2023-10-02 01:38:35,1538.19,961.77
2023-10-02 01:42:06,497.21,193.79
2023-10-02 01:45:01,1330.05,1025.2
2023-10-02 01:46:14,1363.13,1094.77
2023-10-02 01:46:48,1895.55,1435.21
2023-10-02 01:47:09,1262.23,896.48
2023-10-02 01:47:15,1739.74,1023.38
2023-10-02 01:49:08,1076.27,874.89
2023-10-02 01:51:21,1903.82,1471.9
2023-10-02 01:52:19,1966.11,1443.69
2023-10-02 01:53:00,1716.36,1313.44
2023-10-02 01:54:32,1538.59,1088.42
2023-10-02 01:55:29,853.59,621.62
2023-10-02 01:55:35,1981.78,1555.7
2023-10-02 01:57:10,1310.97,1109.65
2023-10-02 01:58:47,1939.59,1522.92
2023-10-02 02:00:52,1469.13,1230.19
2023-10-02 02:03:58,602.46,585.89
2023-10-02 02:04:52,1455.17,908.58
2023-10-02 02:05:52,1052.39,820.92
2023-10-02 02:13:06,1392.43,831.1
2023-10-02 02:19:06,1822.58,1267.74
2023-10-02 02:19:20,773.88,559.73
2023-10-02 02:21:45,662.11,771.24
2023-10-02 02:21:54,1580.79,705.67
2023-10-02 02:21:56,926.04,658.04
2023-10-02 02:26:20,1873.5,1139.33
2023-10-02 02:28:17,1782.42,1355.38
2023-10-02 02:28:38,1600.91,891.92
2023-10-02 02:28:56,1903.67,1450.19
2023-10-02 02:29:28,1641.11,1298.8
2023-10-02 02:30:41,1851.42,1185.88
2023-10-02 02:31:30,1962.32,1421.86
2023-10-02 02:31:41,1345.09,766.43
2023-10-02 02:33:58,690.97,561.65
2023-10-02 02:34:32,1305.26,876.77
